N,P,K,temperature,humidity,ph,rainfall,label
25.61,141.57,199.81,12.99,91.04,6.26,96.32,apple
50.1,64.74,103.56,19.73,22.05,7.66,68.43,chickpea
28.82,71.03,51.96,21.22,44.95,5.94,99.75,kidneybeans
109.38,51.39,52.16,24.66,63.9,6.13,84.11,maize
27.24,143.09,204.5,14.08,91.95,6.13,76.33,apple
25.97,123.29,202.0,17.21,89.56,6.5,74.34,apple
115.8,88.45,51.71,26.41,91.74,5.28,139.37,banana
25.44,134.61,244.34,12.83,88.17,6.45,98.45,apple
31.31,133.87,245.93,16.56,97.22,5.95,93.8,grapes
87.81,57.83,60.95,19.07,55.43,6.22,75.0,maize
28.64,140.93,214.38,13.82,94.25,6.97,93.18,apple
117.25,87.5,48.01,24.86,72.33,5.35,133.69,banana
24.89,143.55,219.9,15.28,95.26,6.43,99.63,apple
109.95,43.9,43.95,28.93,92.95,6.3,230.84,rice
109.96,68.81,51.34,27.03,87.85,5.43,130.72,banana
90.13,53.44,44.95,26.02,97.48,6.46,228.84,rice
27.82,141.66,207.48,12.98,94.14,6.28,75.89,apple
27.99,130.79,235.61,15.28,72.7,6.79,81.38,apple
59.36,59.82,93.1,21.43,26.82,7.8,70.03,chickpea
29.92,141.29,226.62,14.2,84.98,6.42,95.83,grapes
29.26,117.09,248.71,13.61,79.4,6.24,97.86,grapes
105.2,84.63,53.17,23.88,86.79,6.38,122.27,banana
94.69,85.6,50.94,22.02,82.4,6.47,40.37,watermelon
33.78,68.0,59.99,17.87,40.48,5.87,76.62,kidneybeans
112.16,75.04,59.21,27.1,77.67,5.28,152.91,banana
124.12,93.24,49.33,27.76,87.15,6.12,46.68,watermelon
115.37,69.77,60.57,31.11,68.72,5.95,122.32,banana
25.1,133.92,252.5,14.5,97.71,5.49,99.52,apple
86.12,55.96,53.59,22.72,68.78,5.95,83.77,maize
125.68,88.83,55.22,30.35,72.51,5.79,125.9,banana
123.98,75.71,58.28,26.97,91.73,6.34,127.39,banana
107.13,87.69,58.36,30.03,68.18,5.97,128.41,banana
106.19,81.94,53.71,28.65,84.64,6.66,148.53,banana
27.87,143.84,240.08,17.05,95.66,6.41,87.13,apple
55.36,74.24,86.37,19.78,22.3,7.24,69.32,chickpea
108.12,51.09,60.91,24.83,63.18,7.8,83.51,maize
120.44,71.41,62.89,29.67,83.6,6.11,123.8,banana
23.61,138.15,217.89,13.75,75.86,5.46,76.42,apple
143.83,52.02,45.94,22.24,56.0,7.92,84.65,cotton
93.53,89.42,50.17,23.51,74.3,5.99,40.99,watermelon
106.15,56.71,57.28,24.86,70.76,6.43,66.49,maize
24.62,117.21,247.73,14.75,80.3,6.4,98.12,apple
26.85,143.75,209.36,13.57,85.6,6.13,84.24,apple
22.05,138.93,215.96,16.74,93.1,6.16,96.03,apple
27.17,67.52,60.97,17.25,45.01,6.82,84.71,kidneybeans
106.11,56.6,53.11,24.75,61.0,7.14,68.68,maize
34.45,75.54,53.72,22.12,42.94,6.75,77.94,kidneybeans
27.99,63.57,65.34,21.11,46.76,6.15,81.26,kidneybeans
57.19,66.31,90.02,20.52,22.15,7.39,55.42,chickpea
28.86,122.77,204.66,12.82,83.36,6.46,77.79,grapes
90.66,52.96,51.08,24.84,92.03,5.35,241.52,rice
32.69,64.13,65.48,19.56,44.83,7.1,94.82,kidneybeans
131.57,46.9,45.7,26.79,66.34,6.32,70.61,cotton
53.0,67.49,108.05,24.72,25.49,7.13,58.18,chickpea
114.13,55.41,42.67,28.79,89.63,6.27,209.26,rice
95.58,57.47,46.62,30.89,96.42,5.41,234.28,rice
93.45,55.28,51.89,22.47,71.63,6.18,71.87,maize
141.65,56.1,52.48,23.11,68.65,7.35,77.43,cotton
115.46,108.1,46.0,23.91,94.7,7.22,40.31,watermelon
62.76,60.56,91.68,22.95,24.27,6.26,64.2,chickpea
48.7,77.31,108.99,25.29,24.36,6.46,66.18,chickpea
121.2,57.2,52.25,25.7,74.16,7.16,72.84,cotton
94.89,52.91,46.82,30.61,93.0,6.29,221.95,rice
109.92,52.89,63.94,19.48,57.47,6.08,68.22,maize
99.5,46.06,51.08,27.61,97.56,5.82,257.26,rice
125.22,55.75,56.41,23.28,70.67,7.19,69.35,cotton
123.06,49.7,54.62,25.69,67.46,6.56,69.38,cotton
48.95,68.17,106.0,23.64,23.49,7.21,72.03,chickpea
142.94,45.92,50.35,27.12,58.99,7.27,86.07,cotton
28.96,125.88,194.08,14.11,96.57,5.63,88.81,grapes
114.52,43.98,48.54,25.7,94.22,5.73,204.09,rice
30.72,125.01,257.64,16.2,76.01,6.52,97.16,grapes
27.32,120.92,236.56,17.08,77.05,6.55,95.1,grapes
102.63,52.08,48.86,24.98,93.81,5.64,217.22,rice
105.61,111.67,47.52,23.14,80.86,6.1,49.31,watermelon
34.35,137.41,252.25,17.14,89.18,5.54,85.56,grapes
115.46,86.45,49.31,24.52,74.5,7.12,127.26,banana
98.93,76.38,53.67,27.79,84.53,5.57,148.26,banana
27.54,127.62,224.11,14.85,84.11,6.91,86.04,grapes
107.61,78.09,53.52,24.03,81.41,7.05,136.68,banana
31.7,111.75,248.77,15.74,89.97,6.78,83.31,grapes
34.25,149.16,194.71,15.41,92.69,5.75,95.46,grapes
113.93,73.25,49.78,30.07,81.42,6.84,153.3,banana
110.83,72.02,49.17,24.59,75.31,6.64,138.01,banana
88.0,62.82,55.8,24.09,73.14,5.98,86.17,maize
96.21,114.98,44.22,21.56,86.22,6.83,41.95,watermelon
105.32,73.75,61.57,26.29,80.85,5.73,151.76,banana
23.63,138.29,232.67,13.55,75.54,7.05,97.71,apple
117.9,69.27,50.13,25.01,85.77,6.19,128.39,banana
55.39,72.93,94.29,20.99,25.3,7.42,63.87,chickpea
94.0,87.19,62.44,24.52,74.0,6.28,133.18,banana
109.28,58.55,64.79,24.53,55.56,6.29,66.02,maize
31.57,145.08,246.46,14.37,73.64,6.43,88.74,grapes
57.64,61.4,109.51,24.56,28.02,7.08,55.25,chickpea
22.4,123.76,219.06,13.08,85.79,5.41,82.0,apple
152.4,55.7,51.79,23.8,73.53,7.49,73.97,cotton
110.36,86.74,55.14,28.68,76.26,5.67,153.89,banana
58.02,78.61,99.97,20.02,26.77,7.56,59.28,chickpea
60.4,60.39,114.88,22.12,24.22,7.28,66.13,chickpea
24.56,147.53,234.66,13.42,72.41,5.95,87.4,apple
95.88,73.89,61.75,31.95,70.41,6.25,149.52,banana
102.18,53.7,56.91,22.13,57.52,6.29,76.87,maize
95.82,97.51,41.76,26.62,75.34,7.04,46.99,watermelon
106.81,92.64,45.55,26.2,74.23,5.82,48.11,watermelon
110.29,82.11,62.34,24.61,75.14,5.9,142.69,banana
90.49,63.48,60.19,21.46,57.94,6.66,67.93,maize
122.14,74.23,59.7,24.73,90.73,5.41,132.83,banana
23.76,149.07,254.5,15.84,82.58,5.55,75.85,apple
33.51,115.93,243.22,14.08,89.77,5.94,88.12,grapes
29.68,61.14,67.02,17.53,40.66,6.65,102.43,kidneybeans
54.17,67.12,100.71,21.23,27.18,6.82,73.77,chickpea
113.26,58.12,52.82,20.69,57.91,6.19,85.1,maize
104.5,53.86,67.79,20.51,68.01,6.38,72.12,maize
121.15,85.1,41.95,23.88,80.96,6.63,47.65,watermelon
96.79,78.66,56.34,24.07,74.96,6.05,128.36,banana
58.83,65.28,109.94,24.74,25.41,5.92,58.27,chickpea
111.35,52.67,65.67,19.91,63.07,7.86,69.87,maize
123.86,52.44,46.11,22.84,69.94,7.23,65.76,cotton
27.68,117.42,255.27,14.99,95.99,6.23,83.82,apple
27.69,136.33,224.32,17.02,83.4,5.74,85.26,apple
97.6,81.64,52.05,26.02,72.29,6.13,137.48,banana
51.44,76.07,103.54,19.05,26.16,5.8,62.83,chickpea
56.53,77.06,105.98,22.77,23.59,7.45,69.15,chickpea
22.89,145.5,215.27,16.43,85.23,5.61,88.88,apple
98.74,66.72,65.16,22.81,65.44,6.73,73.07,maize
49.08,74.17,85.55,22.55,26.23,5.87,58.57,chickpea
112.61,63.45,60.79,23.92,62.26,7.72,75.83,maize
108.96,75.52,57.34,30.75,71.96,6.76,146.16,banana
107.85,96.98,49.51,23.14,81.77,6.18,47.41,watermelon
48.7,66.17,111.39,23.5,26.99,7.58,63.32,chickpea
150.13,47.92,54.18,25.22,62.5,7.21,68.48,cotton
31.45,127.65,240.02,13.95,75.88,6.97,76.38,grapes
125.25,84.9,52.98,24.02,91.16,5.96,148.46,banana
90.27,48.2,53.06,27.0,93.5,6.77,196.12,rice
114.69,79.91,60.48,28.59,79.37,5.92,144.98,banana
115.0,90.33,52.38,30.4,76.14,5.94,154.95,banana
102.62,82.65,51.93,24.34,72.32,6.69,130.6,banana
111.34,54.2,52.1,24.42,96.89,6.07,252.72,rice
48.97,74.89,111.34,21.75,23.94,6.4,66.01,chickpea
27.9,74.2,67.28,20.45,41.19,7.02,89.75,kidneybeans
99.72,54.03,65.31,19.82,69.3,6.88,84.38,maize
27.71,117.33,198.67,13.87,88.57,6.67,75.7,grapes
160.38,54.23,50.56,24.43,73.02,6.8,63.77,cotton
22.55,131.69,246.35,16.07,77.11,5.39,79.17,apple
34.11,61.8,55.97,21.18,40.95,6.9,90.56,kidneybeans
25.81,66.16,57.19,19.24,41.49,5.57,84.64,kidneybeans
32.08,78.4,53.51,20.31,38.64,6.02,99.2,kidneybeans
58.5,67.35,110.56,21.94,22.28,6.17,55.88,chickpea
117.7,95.62,46.36,22.39,94.18,6.55,49.05,watermelon
23.55,133.61,240.25,13.51,87.01,5.36,96.5,apple
139.34,52.17,49.0,25.54,57.19,6.0,84.2,cotton
87.92,55.81,44.53,26.62,89.35,6.65,255.1,rice
86.18,56.23,65.43,20.76,69.65,6.06,80.81,maize
56.72,70.04,89.17,19.79,21.83,7.09,59.37,chickpea
34.43,116.83,234.13,15.42,87.59,6.21,81.4,grapes
106.63,45.73,49.27,24.8,80.89,6.11,219.33,rice
108.75,55.94,49.25,29.51,88.87,5.87,223.35,rice
98.94,52.93,51.98,29.52,73.86,6.71,222.14,rice
128.93,43.67,53.37,23.59,69.32,6.37,67.72,cotton
108.76,68.29,62.69,19.85,74.14,7.3,84.65,maize
29.04,128.62,245.71,16.88,79.99,6.27,82.49,grapes
54.12,74.19,89.85,20.12,24.25,6.47,65.99,chickpea
144.11,55.09,48.2,23.89,67.58,7.08,75.23,cotton
105.96,76.35,62.46,31.96,81.84,5.3,153.18,banana
85.85,56.46,55.09,28.21,92.43,5.53,210.61,rice
110.05,48.02,56.71,30.92,84.02,5.79,217.03,rice
125.55,86.38,47.15,26.41,95.43,6.47,42.03,watermelon
144.75,54.65,45.13,23.12,72.8,7.38,74.05,cotton
125.75,113.37,44.83,23.64,97.1,6.44,40.45,watermelon
103.44,70.05,56.1,29.08,81.1,5.97,155.79,banana
120.32,106.83,44.39,21.61,79.43,5.76,44.86,watermelon
23.04,146.24,205.35,16.19,81.3,6.81,80.68,apple
27.14,133.46,239.79,14.68,89.61,7.12,85.79,apple
28.86,145.67,240.27,15.18,80.43,6.46,84.57,grapes
87.77,48.85,46.65,22.98,91.91,6.46,208.93,rice
106.28,48.77,44.23,23.12,80.53,6.76,232.97,rice
29.47,70.12,64.19,17.6,42.81,5.89,80.22,kidneybeans
94.25,55.77,53.16,19.74,68.63,7.58,79.43,maize
103.36,43.79,47.14,31.05,90.58,6.25,243.17,rice
28.38,131.07,230.07,15.14,82.3,6.29,79.19,grapes
109.9,96.81,43.28,25.35,75.01,5.96,51.42,watermelon
103.94,106.28,50.48,25.65,96.33,6.53,50.95,watermelon
125.71,91.85,54.73,28.96,81.12,5.56,150.15,banana
110.73,58.94,51.01,25.02,59.2,7.29,66.72,maize
62.85,62.55,112.99,24.75,23.63,6.92,73.75,chickpea
23.74,136.19,240.97,15.02,85.79,6.92,99.88,apple
94.75,62.92,60.46,20.77,58.63,7.75,71.45,maize
28.54,134.85,209.96,14.68,78.13,6.42,88.84,grapes
114.64,51.43,56.75,30.17,87.87,6.61,225.32,rice
140.47,46.24,54.0,27.73,74.64,6.38,82.21,cotton
25.29,113.76,226.69,13.17,78.91,6.29,95.56,apple
27.9,132.05,248.0,13.43,86.37,5.86,79.69,grapes
124.42,94.6,43.07,28.44,75.68,7.2,51.56,watermelon
27.84,61.37,57.62,22.68,36.29,6.61,88.25,kidneybeans
28.01,132.23,219.75,13.04,78.95,7.03,83.28,grapes
28.45,112.64,233.25,12.85,86.48,5.56,90.66,apple
31.48,127.9,258.52,14.43,78.96,5.39,94.57,grapes
33.2,61.32,66.43,19.94,47.1,6.37,99.1,kidneybeans
137.93,54.72,45.28,21.69,58.81,7.44,69.59,cotton
32.8,72.39,58.81,19.56,35.35,5.91,89.02,kidneybeans
30.79,147.06,205.41,14.88,73.11,5.56,78.95,grapes
25.62,145.5,235.57,17.07,94.6,6.59,92.71,grapes
103.74,55.46,51.91,24.17,73.99,6.09,211.69,rice
109.82,110.0,51.52,23.09,78.01,6.79,41.17,watermelon
87.54,50.23,51.99,25.67,93.12,6.67,236.66,rice
29.81,134.48,194.08,14.96,73.05,5.86,74.76,grapes
27.35,70.93,65.19,20.91,43.43,6.92,97.6,kidneybeans
122.66,90.31,42.23,26.48,79.0,6.48,46.06,watermelon
26.48,119.42,247.48,13.58,91.69,6.77,80.26,grapes
100.16,57.0,45.73,25.81,73.54,6.19,250.81,rice
62.75,74.15,90.31,22.64,25.98,7.08,66.25,chickpea
23.74,128.31,193.84,15.78,76.53,6.94,78.54,apple
33.41,79.18,57.53,21.29,44.95,5.31,102.6,kidneybeans
25.53,141.37,206.98,12.97,74.28,5.87,87.77,grapes
87.6,63.05,54.33,19.63,61.56,6.38,69.62,maize
32.54,65.55,59.9,17.78,45.38,6.39,103.37,kidneybeans
25.59,135.33,229.64,13.41,86.67,5.82,94.11,apple
58.8,62.2,96.62,22.66,27.87,6.81,62.75,chickpea
56.36,64.39,109.33,19.31,24.25,7.65,69.57,chickpea
133.89,44.02,49.88,21.89,65.28,6.18,66.54,cotton
152.04,46.18,53.08,27.91,63.91,7.54,77.4,cotton
153.23,52.25,48.03,21.75,59.51,6.49,77.22,cotton
24.62,127.75,211.41,13.5,84.81,5.9,82.75,apple
31.94,139.46,210.59,13.15,81.62,6.8,88.16,grapes
126.27,107.56,48.61,24.48,79.31,6.41,50.14,watermelon
92.22,48.75,52.47,23.64,97.1,5.4,226.76,rice
135.02,47.32,49.14,21.3,72.21,6.01,68.08,cotton
91.73,44.12,55.18,25.93,91.7,6.34,245.74,rice
28.54,74.0,54.24,20.29,43.13,6.82,76.82,kidneybeans
101.83,78.5,51.47,25.49,71.89,6.78,152.96,banana
27.72,139.88,247.93,14.38,78.0,5.76,75.51,grapes
91.65,52.88,47.09,27.66,84.32,6.26,219.97,rice
58.46,62.75,89.61,20.83,21.63,7.68,67.25,chickpea
27.54,118.7,212.01,14.21,83.82,5.88,82.5,apple
29.2,70.97,57.61,22.87,41.84,6.58,79.56,kidneybeans
99.57,49.13,46.6,29.07,75.15,6.07,210.37,rice
107.64,72.25,56.57,28.36,77.16,6.84,147.92,banana
112.81,69.94,50.36,27.77,76.51,6.78,145.76,banana
28.03,120.41,209.16,15.14,73.28,7.04,85.68,apple
122.36,94.7,50.35,21.64,85.3,6.38,47.23,watermelon
29.5,125.65,215.79,14.22,82.42,6.62,79.32,grapes
125.63,92.46,44.27,21.61,83.93,7.46,41.8,watermelon
104.17,66.96,59.04,20.45,60.12,6.01,69.52,maize
56.18,60.54,96.98,19.26,25.01,7.36,57.79,chickpea
105.94,47.6,44.83,30.7,80.83,5.44,197.78,rice
30.12,75.6,54.3,17.57,44.11,6.28,100.06,kidneybeans
25.42,130.04,203.3,17.17,80.7,7.08,86.1,apple
26.21,128.63,252.66,13.41,88.21,6.3,89.45,grapes
27.73,145.28,191.97,13.58,93.17,7.12,74.72,apple
88.92,65.83,57.7,22.86,67.82,7.07,69.57,maize
95.49,42.9,43.3,27.02,78.26,7.12,216.56,rice
112.85,91.65,46.47,27.01,81.66,6.19,49.36,watermelon
29.72,70.27,59.45,21.4,40.03,7.06,98.05,kidneybeans
28.11,123.43,198.65,13.45,93.6,5.64,86.64,grapes
91.36,55.83,65.91,20.93,66.52,7.04,74.67,maize
32.94,73.88,56.42,21.11,43.32,5.45,92.16,kidneybeans
33.76,60.46,63.62,17.78,36.97,5.36,84.8,kidneybeans
144.16,52.95,44.43,21.59,66.29,7.51,79.36,cotton
125.6,44.16,50.55,24.84,56.59,7.84,83.23,cotton
91.52,66.55,52.02,22.03,60.89,7.55,80.21,maize
95.47,76.38,60.75,31.08,87.66,5.82,125.05,banana
33.18,67.26,57.71,18.71,39.17,7.09,100.11,kidneybeans
28.42,79.99,61.37,17.82,45.14,6.75,97.13,kidneybeans
103.59,46.11,56.19,24.11,84.01,5.74,208.48,rice
97.2,98.71,38.35,27.28,82.46,7.2,43.04,watermelon
22.21,117.69,234.51,13.29,89.36,5.52,75.0,apple
124.17,44.43,45.59,22.46,66.22,7.63,64.54,cotton
86.04,43.51,54.18,25.92,82.01,6.33,232.09,rice
32.74,139.47,250.26,13.65,86.79,6.66,95.69,grapes
25.74,110.61,208.89,13.86,81.06,5.91,83.38,apple
107.27,107.87,43.71,28.52,81.27,7.1,51.41,watermelon
103.5,77.45,61.87,29.22,77.04,6.15,146.68,banana
31.76,128.02,236.0,13.75,88.51,5.48,97.5,grapes
26.69,146.03,233.12,17.11,91.8,7.12,78.19,apple
30.93,67.99,59.72,18.67,44.3,5.47,83.27,kidneybeans
110.85,43.13,42.78,30.41,94.23,6.34,229.95,rice
22.44,125.25,202.82,12.91,76.71,6.84,84.92,apple
32.56,61.13,64.94,21.54,35.37,5.47,97.91,kidneybeans
34.3,134.84,240.84,12.84,81.96,6.95,83.87,grapes
98.5,87.53,58.85,26.17,72.77,6.9,158.93,banana
102.74,92.89,39.63,27.23,87.23,7.02,42.71,watermelon
113.11,68.32,53.11,25.3,64.59,6.37,77.35,maize
29.21,66.7,62.63,18.96,42.15,6.57,99.23,kidneybeans
118.14,106.2,51.51,27.28,78.97,6.25,50.4,watermelon
101.76,81.05,54.92,29.98,76.57,6.97,128.25,banana
112.46,96.52,44.39,24.9,96.73,6.31,48.66,watermelon
152.01,56.4,43.98,21.79,56.0,6.28,68.17,cotton
55.79,79.95,96.51,20.95,27.35,6.99,70.54,chickpea
95.8,59.99,61.2,21.13,60.22,6.08,76.66,maize
22.54,132.99,229.51,15.52,91.15,6.91,98.88,apple
103.46,46.22,55.48,24.24,80.6,6.34,212.36,rice
50.52,61.6,93.1,20.26,24.49,6.56,58.09,chickpea
111.09,47.43,44.71,30.24,72.32,6.87,201.02,rice
123.83,43.41,49.47,24.3,64.69,6.71,69.01,cotton
146.48,45.36,53.07,28.19,56.71,7.0,71.47,cotton
93.15,47.3,50.6,24.07,78.15,6.56,238.93,rice
21.57,141.76,216.39,13.78,88.76,5.7,98.97,apple
119.32,75.16,48.7,25.74,82.44,5.89,128.41,banana
27.33,116.37,205.63,16.53,81.5,6.96,89.18,grapes
101.28,48.7,45.31,25.88,91.54,6.43,242.55,rice
159.69,48.18,44.08,28.19,58.68,7.37,70.65,cotton
103.5,92.76,46.81,25.78,92.71,6.4,43.28,watermelon
108.87,83.42,61.6,27.7,70.06,6.63,157.53,banana
129.61,55.66,55.3,28.05,74.26,7.72,73.84,cotton
29.91,145.83,194.76,13.82,80.07,6.11,85.25,grapes
29.02,69.89,68.48,20.7,39.19,7.09,85.15,kidneybeans
26.54,125.02,225.97,13.58,88.5,6.0,75.54,apple
125.1,70.55,58.9,26.64,84.98,5.65,139.18,banana
94.04,45.67,44.56,25.02,80.62,5.28,241.67,rice
28.67,132.37,213.43,15.2,77.36,6.54,76.03,apple
58.31,61.02,112.84,19.4,27.15,6.39,56.94,chickpea
124.2,50.89,45.39,25.89,66.5,5.97,76.58,cotton
29.61,146.86,257.62,16.87,75.32,6.45,98.81,grapes
22.35,136.28,197.56,15.23,86.86,5.91,90.4,apple
27.49,121.83,256.26,13.27,80.0,6.3,94.67,apple
102.9,42.75,50.23,24.91,75.91,6.07,232.75,rice
97.84,97.59,49.67,21.67,88.51,5.65,39.57,watermelon
46.83,72.03,101.11,24.95,23.54,7.31,72.87,chickpea
89.46,50.58,47.68,27.42,86.11,6.12,212.97,rice
57.03,63.44,85.58,19.03,25.26,6.16,57.24,chickpea
33.11,62.92,52.05,18.92,45.65,5.52,80.91,kidneybeans
110.42,77.6,49.94,25.25,84.49,6.92,130.81,banana
52.11,67.31,107.93,21.54,26.69,7.02,66.23,chickpea
26.64,130.38,249.38,13.06,85.34,7.11,88.73,grapes
62.45,60.68,108.27,19.17,24.78,6.17,71.66,chickpea
112.72,54.32,51.88,28.31,96.06,6.06,228.01,rice
30.21,142.46,206.04,14.33,82.65,6.67,76.73,grapes
25.71,114.57,229.13,15.49,80.05,7.12,94.07,grapes
108.52,91.24,59.82,26.22,91.27,6.2,147.79,banana
25.96,130.66,199.57,14.72,84.68,6.69,74.89,grapes
87.48,51.56,64.7,20.63,60.61,6.98,67.53,maize
27.08,126.05,201.3,15.39,91.97,6.85,81.05,apple
114.02,54.57,47.99,29.35,72.6,6.27,221.95,rice
113.54,110.49,39.56,22.89,97.55,6.64,40.66,watermelon
105.21,57.2,51.26,29.4,90.75,6.55,193.05,rice
98.31,52.91,56.05,23.32,92.55,5.82,216.55,rice
26.69,112.99,195.83,13.43,85.58,7.02,80.08,grapes
103.99,101.07,43.54,27.69,84.87,6.43,49.4,watermelon
28.44,69.18,66.54,20.41,45.94,5.77,95.29,kidneybeans
122.44,43.43,55.83,24.82,63.95,6.63,75.59,cotton
95.09,54.92,50.49,28.69,79.89,6.79,216.11,rice
124.08,45.54,53.78,25.65,64.86,7.42,72.41,cotton
28.23,74.33,59.85,17.81,43.65,6.18,79.45,kidneybeans
31.19,79.64,52.63,20.21,46.67,5.42,88.91,kidneybeans
26.08,63.77,58.42,21.94,42.8,5.75,92.73,kidneybeans
113.0,55.71,55.69,25.94,76.27,6.82,238.74,rice
